Station,KCA-KNP,All stations
No. of arrests,10,10
No. of offenders,10,10
First time offenders,10,10
Second time offenders,0,0
Third+ time offenders,0,0
No. of charges,0,0
Firearms,0,0
Spears,0,0
Bows,0,0
Arrows,0,0
Machetes,4,4
Hand saws,0,0
Power saws,0,0
Axes,4,4
Bicycles,0,0
Motorbike,0,0
Vehicles,0,0
Jerrycans,0,0
Tents,0,0
Blankets,0,0
Basins,0,0
Plates & cutlery,0,0
Fishing nets,0,0
Fish traps,0,0
Boats,0,0
Animal traps,0,0
Domestic dogs,0,0
Other items,0,0
Elephants No,0,0
Elephants Kg,0,0
Hippopotamus No,0,0
Hippopotamus Kg,0,0
Giraffe No,0,0
Giraffe Kg,0,0
Zebra No,0,0
Zebra Kg,0,0
Uganda Kob No,0,0
Uganda Kob Kg,0,0
Topi No,0,0
Topi Kg,0,0
Eland No,0,0
Eland Kg,0,0
Hartebeest No,0,0
Hartebeest Kg,0,0
Waterbuck No,0,0
Waterbuck Kg,0,0
Oribi No,0,0
Oribi Kg,0,0
Roan antelope No,0,0
Roan antelope Kg,0,0
Black-fronted duiker No,0,0
Black-fronted duiker Kg,0,0
Yellow-backed duiker No,0,0
Yellow-backed duiker Kg,0,0
Weyns duiker No,0,0
Weyns duiker Kg,0,0
Bush duiker No,0,0
Bush duiker Kg,0,0
Giant Forest Hog No,0,0
Giant Forest Hog Kg,0,0
Warthog No,0,0
Warthog Kg,0,0
Bushpig No,0,0
Bushpig Kg,0,0
Crocodile No,0,0
Crocodile Kg,0,0
Lion No,0,0
Lion Kg,0,0
Leopard No,0,0
Leopard Kg,0,0
Spotted hyaena No,0,0
Spotted hyaena Kg,0,0
Chimpanzee No,0,0
Chimpanzee Kg,0,0
Mountain gorilla No,0,0
Mountain gorilla Kg,0,0
Red Colobus No,0,0
Red Colobus Kg,0,0
Guereza colobus No,0,0
Guereza colobus Kg,0,0
Angolan colobus No,0,0
Angolan colobus Kg,0,0
Python No,0,0
Python Kg,0,0
Chamaeleons No,0,0
Chamaeleons Kg,0,0
Tortoises No,0,0
Tortoises Kg,0,0
Bird(s)- No,0,0
Bird(s)- Kg,0,0
Catfish No,0,0
Catfish Kg,0,0
Lungfish No,0,0
Lungfish Kg,0,0
Tilapia No,0,0
Tilapia Kg,0,0
Nile Perch No,0,0
Nile Perch Kg,0,0
Other species- No,2,2
Other species- Kg,0,0
